isodate,cdoc,dir_location
1942-09-05,633474736169700950,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474736169700950/
1946-01-04,633474771213466109,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474771213466109/
1941-10-17,633474715612664458,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474715612664458/
1941-01-30,633474709308117216,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474709308117216/
1941-05-07,633474712951514406,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474712951514406/
1943-09-18,633474754867730489,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754867730489/
1878-06-05,633474674561341726,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674561341726/
1941-12-09,633474717760277878,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474717760277878/
1944-05-02,633474760702107063,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474760702107063/
1942-10-21,633474738486388753,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474738486388753/
1942-01-14,633474727021391908,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474727021391908/
1940-10-01,633474675378297492,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474675378297492/
1942-09-14,633474736624653428,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474736624653428/
1941-05-03,633474712804697704,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474712804697704/
1942-12-03,633474741768086705,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474741768086705/
1942-12-09,633474742246727335,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474742246727335/
1942-01-12,633474726944505254,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474726944505254/
1943-04-28,633474752494308469,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474752494308469/
1943-07-27,633474753891539829,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474753891539829/
1942-12-14,633474742654117552,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474742654117552/
1940-11-27,633474677892425859,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677892425859/
1878-04-05,633474673799521810,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673799521810/
1942-08-27,633474735564343238,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474735564343238/
